TF	Gene	Input
AT5G10140	AT1G65480	1
AT5G11260	AT1G27480	1
AT5G11260	AT5G53370	1
AT5G11260	AT1G03630	1
AT5G11260	AT1G13600	1
AT5G11260	AT2G41670	1
AT5G11260	AT2G05160	1
AT5G11260	AT2G40170	1
AT5G11260	AT1G62780	1
AT5G11260	AT4G32190	1
AT5G11260	AT1G17460	1
AT5G11260	AT2G46660	1
AT5G11260	AT2G38750	1
AT5G11260	AT5G59780	1
AT5G11260	AT3G07650	1
AT5G11260	AT5G55620	1
AT5G11260	AT5G07680	1
AT5G11260	AT4G01610	1
AT5G11260	AT5G17760	1
AT5G11260	AT4G15230	1
AT5G11260	AT3G01350	1
AT5G11260	AT1G15380	1
AT5G11260	AT1G55550	1
AT5G11260	AT1G78850	1
AT5G11260	AT1G16850	1
AT5G11260	AT1G78390	1
AT5G11260	AT2G43050	1
AT5G11260	AT4G34610	1
AT5G11260	AT5G55220	1
AT5G11260	AT3G16910	1
AT5G11260	AT5G59930	1
AT5G11260	AT2G43570	1
AT5G11260	AT3G21890	1
AT5G11260	AT3G42930	1
AT5G11260	AT1G24530	1
AT5G11260	AT1G17100	1
AT5G11260	AT1G32450	1
AT5G11260	AT5G45850	1
AT5G11260	AT1G10760	1
AT5G11260	AT3G03450	1
AT5G11260	AT1G72100	1
AT5G11260	AT4G35030	1
AT5G11260	AT3G02990	1
AT5G11260	AT3G15670	1
AT5G11260	AT3G21720	1
AT5G11260	AT5G44120	1
AT5G11260	AT2G35300	1
AT5G11260	AT1G80130	1
AT5G11260	AT2G41850	1
AT5G11260	AT1G69760	1
AT5G11260	AT5G62490	1
AT5G11260	AT2G29630	1
AT5G11260	AT2G28780	1
AT5G11260	AT1G63190	1
AT5G11260	AT2G31980	1
AT5G11260	AT2G33380	1
AT5G11260	AT4G37230	1
AT5G11260	AT5G24140	1
AT5G11260	AT3G04140	1
AT5G11260	AT4G36030	1
AT5G11260	AT2G25890	1
AT5G11260	AT5G01300	1
AT5G11260	AT2G15020	1
AT5G11260	AT4G37070	1
AT5G11260	AT3G06080	1
AT5G11260	AT1G12950	1
AT5G11260	AT1G21910	1
AT5G11260	AT2G27660	1
AT5G11260	AT2G43590	1
AT5G11260	AT1G78440	1
AT5G11260	AT3G14440	1
AT5G11260	AT1G02810	1
AT5G11260	AT1G07135	1
AT5G11260	AT1G09070	1
AT5G11260	AT1G57770	1
AT5G11260	AT3G56880	1
AT5G11260	AT2G27080	1
AT5G11260	AT5G53310	1
AT5G11260	AT2G34990	1
AT5G11260	AT3G05820	1
AT5G11260	AT2G41100	1
AT5G11260	AT5G64660	1
AT5G11260	AT3G52740	1
AT5G11260	AT4G17500	1
AT5G11260	AT5G66650	1
AT5G11260	AT2G02870	1
AT5G11260	AT5G50950	1
AT5G11260	AT3G06160	1
AT5G11260	AT4G08950	1
AT5G11260	AT4G05100	1
AT5G11260	AT3G22830	1
AT5G11260	AT2G29670	1
AT5G11260	AT4G27250	1
AT5G11260	AT5G01550	1
AT5G11260	AT5G45110	1
AT5G11260	AT4G25490	1
AT5G11260	AT5G62180	1
AT5G11260	AT5G59820	1
AT5G11260	AT3G13600	1
AT5G11260	AT3G48520	1
AT5G11260	AT5G43890	1
AT5G11260	AT1G19380	1
AT5G11260	AT2G36220	1
AT5G11260	AT2G22500	1
AT5G11260	AT3G01830	1
AT5G11260	AT1G73500	1
AT5G11260	AT2G44080	1
AT5G11260	AT2G41640	1
AT5G11260	AT5G02270	1
AT5G11260	AT5G62520	1
AT5G11260	AT2G37430	1
AT5G11260	AT2G30040	1
AT5G11260	AT4G27280	1
AT5G11260	AT1G25400	1
AT5G11260	AT4G29780	1
AT5G11260	AT1G17420	1
AT5G11260	AT1G73540	1
AT5G11260	AT3G02840	1
AT5G11260	AT5G03210	1
AT5G11260	AT3G55240	1
AT5G11260	AT5G05270	1
AT5G11260	AT1G09480	1
AT5G11260	AT4G32800	1
AT5G11260	AT1G59640	1
AT5G11260	AT4G37770	1
AT5G11260	AT1G80850	1
AT5G11260	AT5G01730	1
AT5G11260	AT5G41170	1
AT5G11260	AT4G34410	1
AT5G11260	AT1G33560	1
AT5G11260	AT5G49520	1
AT5G11260	AT1G76650	1
AT5G11260	AT4G31870	1
AT5G11260	AT3G51240	1
AT5G11260	AT1G19210	1
AT5G11260	AT1G66160	1
AT5G11260	AT1G24140	1
AT5G11260	AT5G08640	1
AT5G11260	AT5G44110	1
AT5G11260	AT1G22750	1
AT5G11260	AT5G65260	1
AT5G11260	AT5G60360	1
AT5G11260	AT5G10100	1
AT5G11260	AT1G19180	1
AT5G11260	AT1G20510	1
AT5G11260	AT1G17380	1
AT5G11260	AT1G18570	1
AT5G11260	AT5G45340	1
AT5G11260	AT4G21420	1
AT5G11260	AT3G19350	1
AT5G11260	AT3G17130	1
AT5G11260	AT2G42870	1
AT5G11260	AT3G60550	1
AT5G11260	AT1G71697	1
AT5G11260	AT5G45630	1
AT5G11260	AT5G49280	1
AT5G11260	AT4G36040	1
AT5G11260	AT5G62020	1
AT5G11260	AT5G45820	1
AT5G11260	AT1G53170	1
AT5G11260	AT5G64550	1
AT5G11260	AT5G13700	1
AT5G11260	AT5G51190	1
AT5G11260	AT1G78990	1
AT5G11260	AT3G23610	1
AT5G11260	AT4G27310	1
AT5G11260	AT2G37530	1
AT5G11260	AT3G09010	1
AT5G11260	AT3G61680	1
AT5G11260	AT3G62720	1
AT5G11260	AT3G52400	1
AT5G11260	AT3G25250	1
AT5G11260	AT2G39650	1
AT5G11260	AT4G36670	1
AT5G11260	AT2G03300	1
AT5G11260	AT5G05410	1
AT5G11260	AT1G60190	1
AT5G11260	AT1G61890	1
AT5G11260	AT4G34150	1
AT5G11260	AT5G66210	1
AT5G11260	AT5G02280	1
AT5G11260	AT2G32510	1
AT5G11260	AT5G01100	1
AT5G11260	AT4G33920	1
AT5G11260	AT2G47460	1
AT5G11260	AT3G54810	1
AT5G11260	AT5G23010	1
AT5G11260	AT4G13010	1
AT5G11260	AT5G15510	1
AT5G11260	AT5G67400	1
AT5G11260	AT5G59550	1
AT5G11260	AT5G54510	1
AT5G11260	AT5G65300	1
AT5G11260	AT3G55980	1
AT5G11260	AT2G35930	1
AT5G11260	AT5G52020	1
AT5G11260	AT2G35290	1
AT5G11260	AT2G34330	1
AT5G11260	AT1G61340	1
AT5G11260	AT2G28630	1
AT5G11260	AT2G33580	1
AT5G11260	AT1G77640	1
AT5G11260	AT5G25810	1
AT5G11260	AT2G22880	1
AT5G11260	AT1G68840	1
AT5G11260	AT1G56660	1
AT5G11260	AT5G57510	1
AT5G11260	AT1G76600	1
AT5G11260	AT3G50850	1
AT5G11260	AT1G68620	1
AT5G11260	AT3G46080	1
AT5G11260	AT1G18740	1
AT5G11260	AT3G50800	1
AT5G11260	AT5G47590	1
AT5G11260	AT2G25460	1
AT5G11260	AT3G62260	1
AT5G11260	AT1G18300	1
AT1G28300	AT5G13790	1
AT2G41070	AT3G51810	1
