TF	Gene	Score
AHR	AATF	1
AHR	ABCA4	1
AHR	ACAP3	1
AHR	ACP2	1
AHR	ACTB	1
AHR	ALG9	1
AHR	ALOXE3	1
AHR	AP2A2	1
AHR	ATOH1	1
AHR	ATP5D	1
AHR	ATP5O	1
AHR	ATXN2L	1
AHR	B3GALT6	1
AHR	BBC3	1
AHR	BCL11A	1
AHR	BCL2L11	1
AHR	BCOR	1
AHR	BPHL	1
AHR	C11ORF1	1
AHR	C17ORF82	1
AHR	C18ORF55	1
AHR	C19ORF23	1
AHR	C19ORF24	1
AHR	C19ORF26	1
AHR	C19ORF59	1
AHR	C19ORF70	1
AHR	C1ORF43	1
AHR	C1ORF51	1
AHR	C3ORF64	1
AHR	C4ORF29	1
AHR	C5ORF33	1
AHR	C5ORF41	1
AHR	C7ORF68	1
AHR	C8G	1
AHR	C9ORF172	1
AHR	CABIN1	1
AHR	CACNG1	1
AHR	CBFA2T2	1
AHR	CBX8	1
AHR	CCDC106	1
AHR	CCDC112	1
AHR	CCDC17	1
AHR	CCDC64	1
AHR	CCDC71	1
AHR	CCDC78	1
AHR	CCDC87	1
AHR	CCS	1
AHR	CD7	1
AHR	CENPH	1
AHR	CHIC2	1
AHR	CIC	1
AHR	CIRBP	1
AHR	CPSF3L	1
AHR	CPSF6	1
AHR	CRTC1	1
AHR	CSNK1E	1
AHR	CSRP2BP	1
AHR	CTDSP1	1
AHR	CTXN1	1
AHR	CYP1A1	1
AHR	CYP4F3	1
AHR	DAZAP1	1
AHR	DDX41	1
AHR	DHX9	1
AHR	DLL1	1
AHR	DMTF1	1
AHR	DNM2	1
AHR	DOCK7	1
AHR	DOK3	1
AHR	DPYSL2	1
AHR	DUSP10	1
AHR	DUSP8	1
AHR	DUSP9	1
AHR	EHMT2	1
AHR	EIF2B5	1
AHR	EIF4ENIF1	1
AHR	EIF4H	1
AHR	EME2	1
AHR	FAM173A	1
AHR	FAM195A	1
AHR	FAM60A	1
AHR	FANK1	1
AHR	FBXL16	1
AHR	FBXL8	1
AHR	FBXO15	1
AHR	FBXW5	1
AHR	FDXACB1	1
AHR	FGFRL1	1
AHR	FIGNL1	1
AHR	FKBP2	1
AHR	FKRP	1
AHR	FLII	1
AHR	FNDC4	1
AHR	FOXK2	1
AHR	FOXN3	1
AHR	GAMT	1
AHR	GATA2	1
AHR	GCKR	1
AHR	GFER	1
AHR	GIGYF1	1
AHR	GLTPD1	1
AHR	GPI	1
AHR	GPR153	1
AHR	GRIN1	1
AHR	GSTCD	1
AHR	GUSB	1
AHR	HAGHL	1
AHR	HARS	1
AHR	HARS2	1
AHR	HBA1	1
AHR	HBA2	1
AHR	HBM	1
AHR	HBQ1	1
AHR	HES7	1
AHR	HIST1H2AE	1
AHR	HIST1H2BG	1
AHR	HIST1H3E	1
AHR	HIVEP1	1
AHR	HOOK2	1
AHR	HOXA10	1
AHR	HOXA9	1
AHR	HRAS	1
AHR	HS3ST3B1	1
AHR	HSD11B1L	1
AHR	HSDL2	1
AHR	HUNK	1
AHR	IBA57	1
AHR	IFT172	1
AHR	IGSF9B	1
AHR	IL6ST	1
AHR	INTS12	1
AHR	ITIH3	1
AHR	JARID2	1
AHR	JAZF1	1
AHR	JMJD8	1
AHR	JUNB	1
AHR	KCNH2	1
AHR	KCNIP2	1
AHR	KDM6B	1
AHR	KEAP1	1
AHR	KIAA1257	1
AHR	KIAA1731	1
AHR	KIF26A	1
AHR	KISS1R	1
AHR	KLF13	1
AHR	KLF6	1
AHR	KLHDC8B	1
AHR	KLHL35	1
AHR	LCN12	1
AHR	LCNL1	1
AHR	LIME1	1
AHR	LMBRD1	1
AHR	LMF1	1
AHR	LRAT	1
AHR	LRDD	1
AHR	LRRC56	1
AHR	LY6H	1
AHR	MAGOHB	1
AHR	MAN1A1	1
AHR	MAP3K11	1
AHR	MAPT	1
AHR	MBD3	1
AHR	MBTPS1	1
AHR	MCM2	1
AHR	METRN	1
AHR	MFSD8	1
AHR	MIDN	1
AHR	MIS18BP1	1
AHR	MLST8	1
AHR	MNT	1
AHR	MRPL14	1
AHR	MRPL41	1
AHR	MRPS34	1
AHR	MXI1	1
AHR	MYH9	1
AHR	MYL5	1
AHR	NDOR1	1
AHR	NDUFA4	1
AHR	NDUFA4L2	1
AHR	NEK8	1
AHR	NEUROD1	1
AHR	NFATC1	1
AHR	NFIX	1
AHR	NFYC	1
AHR	NHS	1
AHR	NOXO1	1
AHR	NR3C1	1
AHR	NR3C2	1
AHR	NRF1	1
AHR	NUDT18	1
AHR	OTUD4	1
AHR	PAPD5	1
AHR	PCNXL3	1
AHR	PDE8A	1
AHR	PDGFB	1
AHR	PER1	1
AHR	PFKFB2	1
AHR	PHF10	1
AHR	PHPT1	1
AHR	PLEC	1
AHR	PNKD	1
AHR	PNPLA7	1
AHR	POLR1A	1
AHR	PPM1M	1
AHR	PPOX	1
AHR	PPP1R14B	1
AHR	PPTC7	1
AHR	PRR7	1
AHR	PRRT2	1
AHR	PRTFDC1	1
AHR	PSRC1	1
AHR	PTCD3	1
AHR	PTGDS	1
AHR	PTPN21	1
AHR	QKI	1
AHR	RAB10	1
AHR	RAB1B	1
AHR	RAB3A	1
AHR	RAB8A	1
AHR	RAF1	1
AHR	RAN	1
AHR	RAP1A	1
AHR	RASSF1	1
AHR	RHBDL1	1
AHR	RNASET2	1
AHR	RND1	1
AHR	RNF13	1
AHR	RPL23A	1
AHR	RPL23AP42	1
AHR	RPL36	1
AHR	RPRM	1
AHR	RPS6KA2	1
AHR	RPS6KA5	1
AHR	RRP1	1
AHR	RSPO3	1
AHR	RUNDC3B	1
AHR	RYBP	1
AHR	SCXA	1
AHR	SCXB	1
AHR	SDF4	1
AHR	SFI1	1
AHR	SH3BP1	1
AHR	SIRT7	1
AHR	SLBP	1
AHR	SLC27A5	1
AHR	SLC2A4RG	1
AHR	SLC34A3	1
AHR	SLC50A1	1
AHR	SMCR7	1
AHR	SNAPC1	1
AHR	SNAPC2	1
AHR	SPRY1	1
AHR	SPSB3	1
AHR	SRCAP	1
AHR	SRSF1	1
AHR	SSBP3	1
AHR	SSBP4	1
AHR	ST8SIA1	1
AHR	STAC3	1
AHR	STRN4	1
AHR	STUB1	1
AHR	SYNGR3	1
AHR	TACC3	1
AHR	TAS1R3	1
AHR	TFDP1	1
AHR	TLCD1	1
AHR	TMEM129	1
AHR	TMEM167B	1
AHR	TMEM203	1
AHR	TMEM53	1
AHR	TMEM63B	1
AHR	TNKS1BP1	1
AHR	TP53BP2	1
AHR	TPRN	1
AHR	TRADD	1
AHR	TRAPPC5	1
AHR	TSPAN7	1
AHR	TWF2	1
AHR	UBAP2L	1
AHR	UBE2I	1
AHR	UBTF	1
AHR	ULK3	1
AHR	USP21	1
AHR	USP28	1
AHR	USP4	1
AHR	VEGFA	1
AHR	VEZF1	1
AHR	XPO6	1
AHR	YOD1	1
AHR	ZBTB12	1
AHR	ZBTB20	1
AHR	ZBTB45	1
AHR	ZC3H14	1
AHR	ZFP161	1
AHR	ZMAT2	1
AHR	ZMYND10	1
AHR	ZNF250	1
AHR	ZNF497	1
AHR	ZNF548	1
AHR	ZNF580	1
AHR	ZNF581	1
AHR	ZNF624	1
AIRE	ABI2	1
AIRE	ADCY7	1
AIRE	AFAP1	1
AIRE	AKAP13	1
AIRE	AMIGO2	1
AIRE	ANTXR2	1
AIRE	AP1S2	1
AIRE	APOBEC3C	1
AIRE	APOBEC3D	1
AIRE	ARMC5	1
AIRE	ATF7	1
AIRE	ATXN7L1	1
AIRE	AUTS2	1
AIRE	B4GALT4	1
AIRE	BCL7B	1
AIRE	BCOR	1
AIRE	BMP5	1
AIRE	BOK	1
AIRE	C14ORF145	1
AIRE	C14ORF43	1
AIRE	C16ORF72	1
AIRE	C1ORF162	1
AIRE	C1QB	1
AIRE	C1QC	1
AIRE	C6ORF130	1
AIRE	CA14	1
AIRE	CABS1	1
AIRE	CAMK4	1
AIRE	CCDC104	1
AIRE	CCDC6	1
AIRE	CCM2	1
AIRE	CCND1	1
AIRE	CCNI	1
AIRE	CD68	1
AIRE	CDK16	1
AIRE	CDKL3	1
AIRE	CEP135	1
AIRE	CIDEB	1
AIRE	COMTD1	1
AIRE	COPS8	1
AIRE	CYCS	1
AIRE	DAAM2	1
AIRE	DAD1	1
AIRE	DENND2D	1
AIRE	DMD	1
AIRE	DNAJC13	1
AIRE	EIF4A1	1
AIRE	EP300	1
AIRE	ESRRG	1
AIRE	FAM107A	1
AIRE	FAM108A3P	1
AIRE	FAM110A	1
AIRE	FAM183A	1
AIRE	FBXO30	1
AIRE	FGF21	1
AIRE	FOXK1	1
AIRE	FRG2C	1
AIRE	FUT1	1
AIRE	GNAS	1
AIRE	GNG11	1
AIRE	GNGT1	1
AIRE	GPBP1	1
AIRE	GRN	1
AIRE	GTF2H4	1
AIRE	GTPBP5	1
AIRE	GZMA	1
AIRE	HBP1	1
AIRE	HIST1H2BH	1
AIRE	HIST1H3F	1
AIRE	HIST1H4G	1
AIRE	HMGB3	1
AIRE	HNRNPR	1
AIRE	HS2ST1	1
AIRE	HS3ST3B1	1
AIRE	IFI6	1
AIRE	IGF2BP1	1
AIRE	IL19	1
AIRE	IRX3	1
AIRE	IZUMO1	1
AIRE	JPH1	1
AIRE	KAZALD1	1
AIRE	KCNC3	1
AIRE	KCNH8	1
AIRE	KIAA0748	1
AIRE	KIAA1370	1
AIRE	KLHL7	1
AIRE	LAMP2	1
AIRE	LTB4R	1
AIRE	LTB4R2	1
AIRE	LYST	1
AIRE	MAML1	1
AIRE	MCCC2	1
AIRE	MKI67	1
AIRE	MPDU1	1
AIRE	MTMR7	1
AIRE	MUCL1	1
AIRE	NARS2	1
AIRE	NELL2	1
AIRE	NEUROG2	1
AIRE	NFYA	1
AIRE	NGF	1
AIRE	NKX6-1	1
AIRE	NR3C1	1
AIRE	NUFIP2	1
AIRE	NUP50	1
AIRE	ODZ2	1
AIRE	OGN	1
AIRE	OR12D2	1
AIRE	OSBPL11	1
AIRE	OSBPL9	1
AIRE	OSTM1	1
AIRE	PANK2	1
AIRE	PAWR	1
AIRE	PAX5	1
AIRE	PCDHB15	1
AIRE	PDE5A	1
AIRE	PEX11A	1
AIRE	PHF21A	1
AIRE	PIP4K2B	1
AIRE	PKIG	1
AIRE	PPP3R1	1
AIRE	PRDM13	1
AIRE	PRR7	1
AIRE	PTER	1
AIRE	RAB13	1
AIRE	RASSF2	1
AIRE	RASSF3	1
AIRE	RBBP6	1
AIRE	RBL1	1
AIRE	RBM14	1
AIRE	RBM39	1
AIRE	RC3H2	1
AIRE	REPS2	1
AIRE	RNASEH2B	1
AIRE	RNF168	1
AIRE	RPE65	1
AIRE	RPL3	1
AIRE	RPS17P16	1
AIRE	RUNDC2A	1
AIRE	SATB2	1
AIRE	SEP15	1
AIRE	SERINC3	1
AIRE	SETD5	1
AIRE	SHANK2	1
AIRE	SIK2	1
AIRE	SKAP1	1
AIRE	SLA2	1
AIRE	SLC5A1	1
AIRE	SP5	1
AIRE	SPATA4	1
AIRE	SUPT3H	1
AIRE	TAX1BP3	1
AIRE	TBC1D19	1
AIRE	TBC1D9	1
AIRE	TCF12	1
AIRE	TGFBR2	1
AIRE	TLR3	1
AIRE	TMEM119	1
AIRE	TMEM188	1
AIRE	TMEM93	1
AIRE	TP63	1
AIRE	TPD52L3	1
AIRE	TRMT2B	1
AIRE	TSHR	1
AIRE	TTC17	1
AIRE	TTC5	1
AIRE	TXNRD1	1
AIRE	UBE2B	1
AIRE	UBP1	1
AIRE	UGGT1	1
AIRE	USP11	1
AIRE	VARS2	1
AIRE	WDR93	1
AIRE	XPO7	1
AIRE	ZBTB6	1
AIRE	ZKSCAN4	1
AIRE	ZNF385D	1
AIRE	ZNF711	1
ALX1	ACCN2	1
ALX1	ACMSD	1
ALX1	ARPP21	1
ALX1	BRCC3	1
ALX1	C12ORF11	1
ALX1	C12ORF51	1
ALX1	C20ORF112	1
ALX1	C3ORF78	1
ALX1	CALD1	1
ALX1	CAMKK2	1
ALX1	CCDC11	1
ALX1	CCDC39	1
ALX1	CCDC60	1
ALX1	CDC40	1
ALX1	CEP170	1
ALX1	CNN3	1
ALX1	CNTN4	1
ALX1	DHX57	1
ALX1	DLD	1
ALX1	DNA2	1
ALX1	DPP4	1
ALX1	DVL2	1
ALX1	DYNLL2	1
ALX1	DYRK1A	1
ALX1	ELMO1	1
ALX1	ELP4	1
ALX1	EMR4P	1
ALX1	EOMES	1
ALX1	EPHA7	1
ALX1	FAM175A	1
ALX1	FCRL3	1
ALX1	FGFR1OP2	1
ALX1	FLVCR1	1
ALX1	GABARAP	1
ALX1	GORASP1	1
ALX1	GP2	1
ALX1	HIPK1	1
ALX1	HSD17B11	1
ALX1	IMMP1L	1
ALX1	ISG20L2	1
ALX1	ITGA3	1
ALX1	KIAA2018	1
ALX1	KRT10	1
ALX1	LIG1	1
ALX1	LRRC8C	1
ALX1	LSM14A	1
ALX1	LY75	1
ALX1	MBD1	1
ALX1	METTL19	1
ALX1	MRGPRX1	1
ALX1	MRPL24	1
ALX1	MTCP1	1
ALX1	NMB	1
ALX1	NT5C3	1
ALX1	NT5DC2	1
ALX1	OR5I1	1
ALX1	ORC2	1
ALX1	PCBD1	1
ALX1	PCLO	1
ALX1	PET112L	1
ALX1	PHF23	1
ALX1	PIK3R2	1
ALX1	PISD	1
ALX1	PKNOX2	1
ALX1	PRB1	1
ALX1	PRB2	1
ALX1	RDH14	1
ALX1	RRNAD1	1
ALX1	SDCCAG8	1
ALX1	SLC25A15	1
ALX1	SMAP2	1
ALX1	SPRY3	1
ALX1	SSR1	1
ALX1	STX8	1
ALX1	TMEM99	1
ALX1	TMSB4Y	1
ALX1	TMX4	1
ALX1	TPX2	1
ALX1	TREML4	1
ALX1	TRRAP	1
ALX1	TTC1	1
ALX1	TTC21A	1
ALX1	UBP1	1
ALX1	UNC5C	1
ALX1	VIM	1
ALX1	WASF1	1
ALX1	WDR16	1
ALX1	WDR73	1
ALX1	XPNPEP2	1
ALX1	ZBTB2	1
ALX1	ZNF107	1
ALX1	ZNF430	1
ALX1	ZNF431	1
ALX1	ZNF493	1
ALX1	ZNF92	1
ALX4	ABCC5	1
ALX4	ALG13	1
ALX4	ARHGAP22	1
ALX4	ARMCX3	1
ALX4	ARMCX6	1
ALX4	BAG3	1
ALX4	BMP1	1
ALX4	C8ORF82	1
ALX4	CDCA7	1
ALX4	DRD1	1
ALX4	EN1	1
ALX4	ERAP2	1
ALX4	FAHD1	1
ALX4	FAM40B	1
ALX4	FAM65A	1
ALX4	FBXO10	1
ALX4	FOXC1	1
ALX4	FOXD3	1
ALX4	GAPDH	1
ALX4	GPHA2	1
ALX4	HAGH	1
ALX4	HEY1	1
ALX4	HMGN5	1
ALX4	HOXC12	1
ALX4	IL21R	1
ALX4	IP6K2	1
ALX4	KLF9	1
ALX4	KRT13	1
ALX4	KRT6A	1
ALX4	LASS6	1
ALX4	LCP1	1
ALX4	LRRC24	1
ALX4	MANF	1
ALX4	MED12	1
ALX4	MEMO1	1
ALX4	MLNR	1
ALX4	MT1G	1
ALX4	MT1H	1
ALX4	MTHFD1	1
ALX4	NCOA3	1
ALX4	NEDD9	1
ALX4	NT5M	1
ALX4	PAN3	1
ALX4	PCP4	1
ALX4	PDE1B	1
ALX4	PDRG1	1
ALX4	PHC1	1
ALX4	PHTF2	1
ALX4	PI3	1
ALX4	PPP3CA	1
ALX4	PRSS58	1
ALX4	RBM15B	1
ALX4	RFC4	1
ALX4	RIC3	1
ALX4	RNF11	1
ALX4	SACM1L	1
ALX4	SFT2D3	1
ALX4	SFTPC	1
ALX4	SLC13A3	1
ALX4	SLC25A42	1
ALX4	SLCO3A1	1
ALX4	SMTNL1	1
ALX4	SPARCL1	1
ALX4	ST8SIA3	1
ALX4	SULT1C2	1
ALX4	SYNE1	1
ALX4	TAF5	1
ALX4	TCF7	1
ALX4	TMEM182	1
ALX4	TMEM60	1
ALX4	TNFAIP3	1
ALX4	TRPM6	1
ALX4	TSEN2	1
ALX4	TUBB6	1
ALX4	UBE2R2	1
ALX4	USP17	1
ALX4	USP17L2	1
ALX4	WDR52	1
ALX4	YY1	1
ALX4	ZC3HC1	1
ALX4	ZFAT	1
ALX4	ZMAT4	1
ALX4	ZNF384	1
APC	ACTR1B	1
APC	ADK	1
APC	AP3M1	1
APC	APOM	1
APC	APPL1	1
APC	ARRDC5	1
APC	ATF3	1
APC	BTF3L4	1
APC	C18ORF25	1
APC	C20ORF30	1
APC	C2ORF28	1
APC	C6ORF47	1
APC	C7ORF47	1
APC	CAD	1
APC	CALM2	1
APC	CCND2	1
APC	CD3EAP	1
APC	CD68	1
APC	CDC7	1
APC	CDCA7	1
APC	CDS2	1
APC	CHRNB2	1
APC	CLK2	1
APC	CTDSPL2	1
APC	DIS3	1
APC	DIXDC1	1
APC	DPYSL2	1
APC	ESYT1	1
APC	FAM111B	1
APC	FCHSD2	1
APC	FIZ1	1
APC	FOXO3	1
APC	GAPDH	1
APC	GSK3A	1
APC	H2AFV	1
APC	HCN3	1
APC	HIST1H2AH	1
APC	HIST1H2BK	1
APC	HIST1H4B	1
APC	HIST1H4I	1
APC	HNRNPD	1
APC	HNRPLL	1
APC	ID3	1
APC	IKZF3	1
APC	IPO4	1
APC	IRF4	1
APC	IRS2	1
APC	KDELC2	1
APC	LSM3	1
APC	LUC7L2	1
APC	MEPCE	1
APC	MKNK2	1
APC	MLEC	1
APC	NLE1	1
APC	NOLC1	1
APC	NR3C2	1
APC	PAX6	1
APC	PCGF2	1
APC	PCNA	1
APC	PFN1	1
APC	PIBF1	1
APC	PPP1R13L	1
APC	PPP2R5A	1
APC	PRDX2	1
APC	PRKCE	1
APC	PRPF19	1
APC	PRRT2	1
APC	PSMB3	1
APC	PTMA	1
APC	RAB34	1
APC	RBL1	1
APC	RNF167	1
APC	RPL23A	1
APC	RPL23AP42	1
APC	RRM1	1
APC	SLC16A6	1
APC	SLC25A11	1
APC	SLC5A6	1
APC	SNRNP70	1
APC	SRSF1	1
APC	SRSF10	1
APC	STAG1	1
APC	STK35	1
