HDGF	SPTSSB	CD151
PRRC2A	ELMO1	TIMM8B
ARHGDIA	USP8	BRD4
HES4	CCDC77	TXNRD1
GNB2	KLHL7	ANXA1
IER2	UBE4B	RPL23AP79
THOC6	TBX18	ARHGEF10
TKT	TM4SF19	EGR1
TMUB1	ABRACL	HNRNPA1
YARS	STAM2	FAM206A
RPL8	ADAL	TIMM8BP2
HDAC1	SYNJ2	CENPN
TK1	PLCH1	USP8
STAT5B	ARHGEF11	FAM168B
CD4	MRPS31	ULBP1
H2AFX	FERMT3	MRPS31
CYBA	MYO5C	PMPCB
URM1	POLR3D	LEO1
POLR2A	OMA1	PMAIP1
TSC22D4	ALDOC	CTSB
TMC6	CREM	GSTM4
DCTN1	GNG2	PLK4
ALDOA	EPHX2	HNRNPDL
VPS4A	MOSPD2	HNRPDL
BSG	RILPL2	BBC3
ARRB2	NLGN4X	ST8SIA4
GRAMD1A	HSPH1	STXBP3
CAPN1	IRF2	ADM
CPSF3L	GIMAP4	NEIL3
IRF2BP1	NUDCD1	KANK2
MEN1	IFI44	ITM2C
CBX6	LZTR1	SLC7A11
ZDHHC18	XPO5	SRSF2
ATP2A3	ABHD6	ATP5D
PPP6R1	STX11	NRDE2
RRP7A	EFCAB7	RBMX
SND1	TANK	TCF7
BAG6	ZNF610	SPON2
MARCKSL1	AVEN	GHITM
PRKCSH	ACTR3	SNORD42A
R3HDM4	CHN2	MEMO1P1
HMHA1	GIMAP6	FNDC3A
UBA1	CCDC64	KIF2A
JUND	TMEFF1	MEMO1
NOTCH3	ORC3	CBX4
INPPL1	TBK1	UBE4B
DBP	GAS1	GADD45A
PPP1R15A	PFN1	DOCK1
CA9	H1FX	ADAT2
CDCA5	PAFAH2	EIF2A
SBF1	ASRGL1	LSMD1
SETD5	ELOVL4	NUDCD1
PLA2G6	LEO1	PSPC1
AP1S1	GPNMB	RGS16
ACTBP1	SYNE1	EAF1
ARHGAP4	IL7R	PA2G4P4
BRD3	OXR1	NLK
TNRC18	MED15	MNT
CHCHD2P6	STX7	CDK7
C11orf84	ADNP2	ENSA
GATAD2B	METTL21A	C1orf52
ACAP3	FAM193A	NAMPT
RPL13P12	ESF1	CELF2
TSEN54	DNA2	TCEAL1
MVK	RPF2	PELO
RAB4B	COX20	NTHL1
PIDD	MT-ATP6	PDSS1
MAGED2	PDCD5	TACC1
SAMD1	DST	HEATR2
ADRBK1	KLF12	ASPM
KAT8	MDM4	PARD3
TRAPPC6A	H3F3B	C12orf57
SEPHS2	NUDT9	LINC00115
AURKAIP1	SETDB2	COX20
FLNA	PLEKHA5	RRN3P1
WRAP53	RPL23AP2	MRPS16
MGAT4B	RPS28	FGD5-AS1
